postcode,dry,dry,dry,dry,mix,mix,mix,mix,fresh,fresh,fresh,fresh
43100,95,110,200,365,220,240,260,260,350,390,450,530
43110,95,110,200,365,220,240,260,260,350,390,450,530
43120,95,110,200,365,220,240,260,260,350,390,450,530
43130,95,110,200,365,220,240,260,260,350,390,450,530
43160,95,110,200,365,220,240,260,260,350,390,450,530
44000,95,110,200,365,220,240,260,260,350,390,450,530
44190,95,110,200,365,220,240,260,260,350,390,450,530
44140,95,110,200,365,220,240,260,260,350,390,450,530
44150,95,110,200,365,220,240,260,260,350,390,450,530
44160,95,110,200,365,220,240,260,260,350,390,450,530
44130,95,110,200,365,220,240,260,260,350,390,450,530
44170,95,110,200,365,220,240,260,260,350,390,450,530
44110,95,110,200,365,220,240,260,260,350,390,450,530
44120,95,110,200,365,220,240,260,260,350,390,450,530
44180,95,110,200,365,220,240,260,260,350,390,450,530
44210,95,110,200,365,220,240,260,260,350,390,450,530
45000,95,110,200,365,220,240,260,260,350,390,450,530
45150,95,110,200,365,220,240,260,260,350,390,450,530
45190,95,110,200,365,220,240,260,260,350,390,450,530
45180,95,110,200,365,220,240,260,260,350,390,450,530
45170,95,110,200,365,220,240,260,260,350,390,450,530
45140,95,110,200,365,220,240,260,260,350,390,450,530
45110,95,110,200,365,220,240,260,260,350,390,450,530
45230,95,110,200,365,220,240,260,260,350,390,450,530
45210,95,110,200,365,220,240,260,260,350,390,450,530
45120,95,110,200,365,220,240,260,260,350,390,450,530
45130,95,110,200,365,220,240,260,260,350,390,450,530
45220,95,110,200,365,220,240,260,260,350,390,450,530
45240,95,110,200,365,220,240,260,260,350,390,450,530
45160,95,110,200,365,220,240,260,260,350,390,450,530
45250,95,110,200,365,220,240,260,260,350,390,450,530
45280,95,110,200,365,220,240,260,260,350,390,450,530
46000,95,110,200,365,220,240,260,260,350,390,450,530
46230,95,110,200,365,220,240,260,260,350,390,450,530
46130,95,110,200,365,220,240,260,260,350,390,450,530
46210,95,110,200,365,220,240,260,260,350,390,450,530
46110,95,110,200,365,220,240,260,260,350,390,450,530
46160,95,110,200,365,220,240,260,260,350,390,450,530
46120,95,110,200,365,220,240,260,260,350,390,450,530
46170,95,110,200,365,220,240,260,260,350,390,450,530
46140,95,110,200,365,220,240,260,260,350,390,450,530
46180,95,110,200,365,220,240,260,260,350,390,450,530
46190,95,110,200,365,220,240,260,260,350,390,450,530
46220,95,110,200,365,220,240,260,260,350,390,450,530
46150,95,110,200,365,220,240,260,260,350,390,450,530
46240,95,110,200,365,220,240,260,260,350,390,450,530
47000,95,110,200,365,220,240,260,260,350,390,450,530
47220,95,110,200,365,220,240,260,260,350,390,450,530
47230,95,110,200,365,220,240,260,260,350,390,450,530
47210,95,110,200,365,220,240,260,260,350,390,450,530
47180,95,110,200,365,220,240,260,260,350,390,450,530
47130,95,110,200,365,220,240,260,260,350,390,450,530
47160,95,110,200,365,220,240,260,260,350,390,450,530
47150,95,110,200,365,220,240,260,260,350,390,450,530
47270,95,110,200,365,220,240,260,260,350,390,450,530
47120,95,110,200,365,220,240,260,260,350,390,450,530
47250,95,110,200,365,220,240,260,260,350,390,450,530
47140,95,110,200,365,220,240,260,260,350,390,450,530
47170,95,110,200,365,220,240,260,260,350,390,450,530
47110,95,110,200,365,220,240,260,260,350,390,450,530
47240,95,110,200,365,220,240,260,260,350,390,450,530
47190,95,110,200,365,220,240,260,260,350,390,450,530
47260,95,110,200,365,220,240,260,260,350,390,450,530
47280,95,110,200,365,220,240,260,260,350,390,450,530
47290,95,110,200,365,220,240,260,260,350,390,450,530
48000,95,110,200,365,220,240,260,260,350,390,450,530
48160,95,110,200,365,220,240,260,260,350,390,450,530
48120,95,110,200,365,220,240,260,260,350,390,450,530
48140,95,110,200,365,220,240,260,260,350,390,450,530
48110,95,110,200,365,220,240,260,260,350,390,450,530
48170,95,110,200,365,220,240,260,260,350,390,450,530
48130,95,110,200,365,220,240,260,260,350,390,450,530
48150,95,110,200,365,220,240,260,260,350,390,450,530
48180,95,110,200,365,220,240,260,260,350,390,450,530
48190,95,110,200,365,220,240,260,260,350,390,450,530
49000,95,110,200,365,220,240,260,260,350,390,450,530
49130,95,110,200,365,220,240,260,260,350,390,450,530
49120,95,110,200,365,220,240,260,260,350,390,450,530
49140,95,110,200,365,220,240,260,260,350,390,450,530
49110,95,110,200,365,220,240,260,260,350,390,450,530
49150,95,110,200,365,220,240,260,260,350,390,450,530
49160,95,110,200,365,220,240,260,260,350,390,450,530
50200,95,110,200,365,220,240,260,260,350,390,450,530
50100,95,110,200,365,220,240,260,260,350,390,450,530
50300,95,110,200,365,220,240,260,260,350,390,450,530
50000,95,110,200,365,220,240,260,260,350,390,450,530
50160,95,110,200,365,220,240,260,260,350,390,450,530
50240,95,110,200,365,220,240,260,260,350,390,450,530
50270,95,110,200,365,220,240,260,260,350,390,450,530
50170,95,110,200,365,220,240,260,260,350,390,450,530
50220,95,110,200,365,220,240,260,260,350,390,450,530
50150,95,110,200,365,220,240,260,260,350,390,450,530
50330,95,110,200,365,220,240,260,260,350,390,450,530
50180,95,110,200,365,220,240,260,260,350,390,450,530
50250,95,110,200,365,220,240,260,260,350,390,450,530
50110,95,110,200,365,220,240,260,260,350,390,450,530
50320,95,110,200,365,220,240,260,260,350,390,450,530
50280,95,110,200,365,220,240,260,260,350,390,450,530
50190,95,110,200,365,220,240,260,260,350,390,450,530
50120,95,110,200,365,220,240,260,260,350,390,450,530
50130,95,110,200,365,220,240,260,260,350,390,450,530
50210,95,110,200,365,220,240,260,260,350,390,450,530
50290,95,110,200,365,220,240,260,260,350,390,450,530
50230,95,110,200,365,220,240,260,260,350,390,450,530
50340,95,110,200,365,220,240,260,260,350,390,450,530
50260,95,110,200,365,220,240,260,260,350,390,450,530
50310,95,110,200,365,220,240,260,260,350,390,450,530
50140,95,110,200,365,220,240,260,260,350,390,450,530
50350,95,110,200,365,220,240,260,260,350,390,450,530
50360,95,110,200,365,220,240,260,260,350,390,450,530
58130,95,110,200,365,220,240,260,260,350,390,450,530
51000,95,110,200,365,220,240,260,260,350,390,450,530
51150,95,110,200,365,220,240,260,260,350,390,450,530
51140,95,110,200,365,220,240,260,260,350,390,450,530
51170,95,110,200,365,220,240,260,260,350,390,450,530
